unitprice,name,age,WGS84lat,WGS84lon,lift
85867,地兴居,1988,39.94965835,116.3909079,FALSE
48885.5,金隅景和园,2011,39.94969991,116.544624,FALSE
104125.5,远大园六区,2000,39.94978251,116.2820717,TRUE
139886,冰窖口胡同79号,1977,39.94979091,116.3665392,FALSE
90678,交大东路34号院,1990,39.94981332,116.3425837,FALSE
133368.6667,冰窖口胡同73号院,1987,39.94987593,116.3684861,FALSE
93753.5,香河园北里,1984,39.95003951,116.4296393,FALSE
84890.3,索家坟,1985,39.95006538,116.352994,FALSE
121763,安德路,1985,39.95009625,116.3881713,FALSE
84056,索家坟20号院,1985,39.95011418,116.352959,FALSE
130434,德胜佳苑,2008,39.95011506,116.3702,TRUE
99195,新外大街31号院,1999,39.9501665,116.3650542,TRUE
94261.28571,和平新城一期,2003,39.95032908,116.4200071,TRUE
87555.66667,志强南园,1982,39.95039187,116.3606548,FALSE
149260.75,观河锦苑,2002,39.95049661,116.3668273,TRUE
66140,东土城路13号院,1996,39.95052448,116.4258957,TRUE
73108,新源里东,1965,39.95058065,116.4448456,FALSE
94803,长昆名居,2006,39.95063133,116.2914387,TRUE
84496.5,大慧寺1号,1980,39.95068818,116.3217508,FALSE
88514,世纪金源国际公寓,2002,39.9506943,116.2747191,TRUE
102940.5714,安德路乙61号院,1989,39.95071532,116.3882333,TRUE
90856.4,文慧园,2002,39.95073474,116.3634538,TRUE
91952,文慧园一号公寓,2004,39.95073474,116.3634538,TRUE
93594,枫蓝国际,2004,39.95075173,116.353928,TRUE
83481.4,五月华庭,2004,39.95081094,116.3623061,TRUE
92064,大慧寺6号院,1986,39.95085372,116.3240196,TRUE
80144,文慧园路2号院,1994,39.95089954,116.364717,TRUE
97909.25,民旺园,1982,39.95097028,116.4225854,FALSE
68326.5,三源里北小街,1984,39.95104011,116.4507834,TRUE
69895.66667,三源里南小街,1985,39.95104011,116.4507834,TRUE
101959.2857,郦城二区,2002,39.95104502,116.2646095,TRUE
85013.5,万寿寺北里,1983,39.95110933,116.3048205,FALSE
91079,厂洼街3号院,2000,39.95130788,116.2983965,FALSE
89863,文慧园路甲1号,1982,39.95132631,116.3639153,FALSE
